poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
82872,320,Monmouth U.,,,Monmouth University,215,Monmouth University,A,Live Phone,,5/18/23,5/23/23,,,,173507,981,a,,a,,5/24/23 11:20,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_052423/,,FALSE,,6826,Kamala Harris,37,52,11
82872,320,Monmouth U.,,,Monmouth University,215,Monmouth University,A,Live Phone,,5/18/23,5/23/23,,,,173508,907,rv,,rv,,5/24/23 11:20,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_052423/,,FALSE,,6826,Kamala Harris,37,53,10
82849,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,5/17/23,5/17/23,,,,173329,1500,rv,,rv,,5/19/23 14:26,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-17-may-2023/,,FALSE,,6826,Kamala Harris,36,44,21
82782,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,5/5/23,5/8/23,,,,173107,1002,a,,a,,5/10/23 20:16,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-may-10-2023/,,FALSE,,6826,Kamala Harris,39,59,3
82786,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,5/5/23,5/8/23,,,,173055,1584,a,,a,,5/10/23 9:47,,https://news.yahoo.com/new-yahoo-news-poll-shows-biden-still-leads-trump-for-2024-100012891.html,,FALSE,,6826,Kamala Harris,40,46,14
82786,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,5/5/23,5/8/23,,,,173056,1059,rv,,rv,,5/10/23 9:47,,https://news.yahoo.com/new-yahoo-news-poll-shows-biden-still-leads-trump-for-2024-100012891.html,,FALSE,,6826,Kamala Harris,43,49,8
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,,,172651,1500,a,,a,,5/3/23 9:55,,https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,,FALSE,,6826,Kamala Harris,41,44,15
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,,,172652,1357,rv,,rv,,5/3/23 9:55,,https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,,FALSE,,6826,Kamala Harris,41,49,9
82701,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,4/24/23,4/24/23,,,,172525,1500,rv,,rv,,4/28/23 15:56,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-24-april-2023/,,FALSE,,6826,Kamala Harris,39,47,15
82672,568,YouGov,133,CBS News,YouGov,391,YouGov,B+,Online,,4/21/23,4/24/23,,,,172371,2093,a,,a,,4/26/23 9:41,,https://www.cbsnews.com/news/democrats-biden-reelection-bid-acceptance-more-than-excitement-poll-2023-04-24/,,FALSE,,6826,Kamala Harris,43,57,0
82682,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,4/21/23,4/24/23,,,,172370,1005,a,,a,,4/26/23 9:40,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-april-25-2023/,,FALSE,,6826,Kamala Harris,42,56,1
82687,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,4/21/23,4/24/23,,,,172436,1004,rv,,rv,,4/26/23 19:30,,https://www.foxnews.com/official-polls/fox-news-poll-trump-still-top-2024-republican-preference-desantis-slipping,,FALSE,,6826,Kamala Harris,43,54,3
82630,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,4/14/23,4/15/23,,,,172065,1001,a,,a,,4/19/23 10:35,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-april-18-2023/,,FALSE,,6826,Kamala Harris,41,56,3
82557,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,4/4/23,4/4/23,,,,171783,1500,rv,,rv,,4/7/23 12:05,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-4-april-2023/,,FALSE,,6826,Kamala Harris,35,44,21
82549,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,3/31/23,4/2/23,,,,171747,1006,a,,a,,4/6/23 18:15,,https://legermarketing.wpenginepowered.com/wp-content/uploads/2023/04/Legers-North-American-Tracker-Apr-3rd-2023.pdf,,FALSE,,6826,Kamala Harris,44,53,3
82512,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,3/29/23,3/31/23,,,,171582,1005,a,,a,,4/3/23 11:48,,https://big-village.com/public-opinion-polling/,,FALSE,,6826,Kamala Harris,42,46.3,11.7
82450,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,3/20/23,3/20/23,,,,171135,1500,rv,,rv,,3/24/23 13:26,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-20-march-2023/,,FALSE,,6826,Kamala Harris,37,43,20
82419,320,Monmouth U.,,,Monmouth University,215,Monmouth University,A,Live Phone,,3/16/23,3/20/23,,,,170881,805,a,,a,,3/21/23 14:49,,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_032123/,,FALSE,,6826,Kamala Harris,36,53,12
82419,320,Monmouth U.,,,Monmouth University,215,Monmouth University,A,Live Phone,,3/16/23,3/20/23,,,,170884,748,rv,,rv,,3/21/23 14:55,,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_032123/,,FALSE,,6826,Kamala Harris,37,53,10
82502,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,3/17/23,3/19/23,,,,171548,1006,a,,a,,4/1/23 15:27,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-march-29-2023/,,FALSE,,6826,Kamala Harris,43,54,3
82418,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,3/15/23,3/17/23,,,,170875,1007,a,,a,,3/21/23 9:26,,https://big-village.com/public-opinion-polling/,,FALSE,,6826,Kamala Harris,42,45.5,12.5
82401,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,3/10/23,3/12/23,,,,170808,1007,a,,a,,3/17/23 9:56,,https://leger360.com/surveys/legers-north-american-tracker-march-16-2023/,,FALSE,,6826,Kamala Harris,42,56,3
82350,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,3/3/23,3/5/23,,,,170591,1004,a,,a,,3/9/23 10:53,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-march-8-2023/,,FALSE,,6826,Kamala Harris,43,53,4
82237,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,2/19/23,2/19/23,,,,169173,1500,rv,,rv,,2/22/23 15:11,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-19-february-2023/,,FALSE,,6826,Kamala Harris,38,40,22
82260,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,2/17/23,2/19/23,,,,169342,1002,a,,a,,2/24/23 17:10,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-february-24-2023/,,FALSE,,6826,Kamala Harris,41,56,3
82217,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,2/15/23,2/17/23,,,,169073,1010,a,,a,,2/17/23 15:13,,https://big-village.com/public-opinion-polling/,,FALSE,,6826,Kamala Harris,42,46.6,11.4
82249,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,2/10/23,2/13/23,,,,169210,1000,a,,a,,2/23/23 9:47,,https://leger360.com/surveys/legers-north-american-tracker-february-15-2023/,,FALSE,,6826,Kamala Harris,42,55,3
82168,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,2/3/23,2/5/23,,,,168731,1001,a,,a,,2/10/23 16:21,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-february-6-2023/,,FALSE,,6826,Kamala Harris,42,55,3
82095,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,1/27/23,1/30/23,,,,167890,1003,rv,,rv,,2/1/23 19:07,,https://www.foxnews.com/official-polls/fox-news-poll-state-union-dysfunction-dissatisfaction-disapproval,,FALSE,,6826,Kamala Harris,39,57,4
82105,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,1/28/23,1/29/23,,,,167913,1500,rv,,rv,,2/3/23 13:29,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-28-29-january-2023/,,FALSE,,6826,Kamala Harris,38,41,21
82066,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,1/20/23,1/22/23,,,,167690,1005,a,,a,,1/27/23 9:35,,https://leger360.com/surveys/legers-north-american-tracker-january-26-2023/,,FALSE,,6826,Kamala Harris,40,57,3
82017,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,1/18/23,1/20/23,,,,169074,1012,a,,a,,2/17/23 15:24,,https://s3.amazonaws.com/cdn.big-village.com/big-village/2023/01/Big-Village-Politics-Poll-01.20.23.pdf,,FALSE,,6826,Kamala Harris,41.7,46.3,12
82012,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,1/16/23,1/16/23,,,,167286,2000,rv,,rv,,1/20/23 9:19,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-16-january-2023/,,FALSE,,6826,Kamala Harris,35,42,23
81984,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,1/6/23,1/9/23,,,,167124,1000,a,,a,,1/17/23 10:10,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-january-12-2023/,,FALSE,,6826,Kamala Harris,41,56,4
81963,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,1/4/23,1/6/23,,,,169075,1012,a,,a,,2/17/23 15:24,,https://s3.amazonaws.com/cdn.big-village.com/big-village/2023/01/CRMiw4ue-Big-Village-Politics-Poll-01.06.23.pdf,,FALSE,,6826,Kamala Harris,43.1,45.5,11.4
81879,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,12/16/22,12/18/22,,,,169076,1003,a,,a,,2/17/23 15:24,,https://s3.amazonaws.com/cdn.big-village.com/big-village/2022/12/Big-Village-Politics-Poll-12.18.22.pdf,,FALSE,,6826,Kamala Harris,41.3,45.4,13.3
81772,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,12/5/22,12/5/22,,,,166060,1500,rv,,rv,,12/7/22 12:14,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-5-december-2022/,,FALSE,,6826,Kamala Harris,38,44,18
81765,1709,Big Village,,,Big Village,37,Big Village,B-,Online,,11/30/22,12/2/22,,,,165985,1005,a,,a,,12/6/22 17:14,,https://s3.amazonaws.com/cdn.big-village.com/big-village/2022/12/Big-Village-Politics-Poll-12.02.22.pdf,,FALSE,,6826,Kamala Harris,42.2,45.4,12.4
81767,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,11/25/22,11/27/22,,,,165997,1003,a,,a,,12/7/22 8:08,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-december-6-2022/,,FALSE,,6826,Kamala Harris,43,55,2
81688,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,11/17/22,11/17/22,,,,165555,1500,rv,,rv,,11/18/22 12:08,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-17-november-2022/,,FALSE,,6826,Kamala Harris,37,43,20
81663,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,11/11/22,11/13/22,,,,165434,1007,a,,a,,11/15/22 8:20,,https://leger360.com/surveys/legers-north-american-tracker-november-15-2022/,,FALSE,,6826,Kamala Harris,41,57,2
81527,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,11/2/22,11/2/22,,,,165012,1500,rv,,rv,,11/4/22 13:05,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-2-november-2022/,,FALSE,,6826,Kamala Harris,37,45,18
81515,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,10/28/22,10/30/22,,,,164954,1005,a,,a,,11/4/22 9:32,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-november-3-2022/,,FALSE,,6826,Kamala Harris,41,57,2
81067,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,10/12/22,10/12/22,,,,163331,1500,rv,,rv,,10/14/22 12:16,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-12-october-2022/,,FALSE,,6826,Kamala Harris,37,43,21
80944,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,10/2/22,10/3/22,,,,162897,1500,rv,,rv,,10/5/22 13:17,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-2-3-october-2022/,,FALSE,,6826,Kamala Harris,35,44,22
80974,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,9/30/22,10/2/22,,,,163008,1002,a,,a,,10/7/22 19:29,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-october-7-2022/,,FALSE,,6826,Kamala Harris,39,59,2
80811,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,9/16/22,9/18/22,,,,162451,1010,a,,a,,9/26/22 13:16,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-september-26-2022/,,FALSE,,6826,Kamala Harris,41,57,2
80668,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,9/14/22,9/15/22,,,,161473,1500,rv,,rv,,9/16/22 13:45,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-14-15-september-2022/,,FALSE,,6826,Kamala Harris,35,40,25
79977,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,9/2/22,9/4/22,,,,160367,1011,a,,a,,9/7/22 13:53,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-september-6-2022/,,FALSE,,6826,Kamala Harris,40,58,3
79924,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,8/28/22,8/28/22,,,,160230,1500,rv,,rv,,9/2/22 12:13,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-28-august-2022/,,FALSE,,6826,Kamala Harris,34,45,22
79794,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,8/17/22,8/17/22,,,,159727,1500,rv,,rv,,8/19/22 12:25,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-17-august-2022/,,FALSE,,6826,Kamala Harris,35,43,22
79674,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,8/5/22,8/7/22,,,,159510,1002,a,,a,,8/12/22 9:52,,https://projects.fivethirtyeight.com/polls/20220812_US_Leger.pdf,,FALSE,,6826,Kamala Harris,39,59,2
79820,573,Zogby,,,Zogby Analytics,395,Zogby Analytics,B-,Online,,8/4/22,8/6/22,,,,159811,891,lv,,lv,,8/23/22 14:21,"question wording: ""Overall, do you approve or disapprove of Kamala Harris' job as Vice President?""",https://zogbyanalytics.com/news/1165-new-zogby-polling-data-pres-vice-pres-job-approvals,,FALSE,,6826,Kamala Harris,43.8,51.7,4.5
79820,573,Zogby,,,Zogby Analytics,395,Zogby Analytics,B-,Online,,8/4/22,8/6/22,,,,159812,891,lv,,lv,,8/23/22 14:21,"question wording: ""Do you approve or disapprove of the way Kamala Harris is handling her job as Vice President?""",https://zogbyanalytics.com/news/1165-new-zogby-polling-data-pres-vice-pres-job-approvals,,FALSE,,6826,Kamala Harris,39.6,51.4,9
79593,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,7/28/22,7/28/22,,,,159098,1500,rv,,rv,,8/2/22 12:37,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-29-july-2022/,,FALSE,,6826,Kamala Harris,33,40,26
79510,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,7/23/22,7/24/22,,,,158895,1005,a,,a,,7/28/22 15:29,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-july-28-2022/,,FALSE,,6826,Kamala Harris,40,58,2
79390,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,7/10/22,7/13/22,,,,158055,1001,rv,,rv,,7/17/22 12:44,,https://www.foxnews.com/official-polls/fox-news-poll-voters-say-economy-bad-expect-get-worse,,FALSE,,6826,Kamala Harris,39,58,3
79381,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,7/8/22,7/10/22,,,,157981,1002,a,,a,,7/14/22 14:35,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-july-14-2022/,,FALSE,,6826,Kamala Harris,39,59,2
79385,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,7/9/22,7/9/22,,,,158028,1500,rv,,rv,,7/15/22 12:24,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-9-july-2022/,,FALSE,,6826,Kamala Harris,34,43,24
79299,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,6/24/22,6/26/22,,,,157644,1006,a,,a,,7/5/22 11:33,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-july-4-2022/,,FALSE,,6826,Kamala Harris,40,58,2
79185,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,6/15/22,6/15/22,,,,156746,1500,rv,,rv,,6/17/22 12:34,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-15-june-2022/,,FALSE,,6826,Kamala Harris,32,39,29
79164,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,6/10/22,6/12/22,,,,156601,1006,a,,a,,6/15/22 9:43,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-june-15-2022/,,FALSE,,6826,Kamala Harris,39,59,3
79079,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,5/30/22,5/30/22,,,,156141,1500,rv,,rv,,6/3/22 12:33,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-30-may-2022/,,FALSE,,6826,Kamala Harris,37,41,21
79074,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,5/28/22,5/29/22,,,,156120,1005,a,,a,,6/3/22 8:52,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-june-2-2022/,,FALSE,,6826,Kamala Harris,40,58,2
78993,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,5/17/22,5/17/22,,,,155689,1500,rv,,rv,,5/20/22 12:57,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-17-may-2022/,,FALSE,,6826,Kamala Harris,37,45,18
78970,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,5/13/22,5/15/22,,,,155524,1000,a,,a,,5/17/22 13:42,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-may-17-2022/,,FALSE,,6826,Kamala Harris,41,57,2
78899,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,5/1/22,5/1/22,,,,155296,1500,rv,,rv,,5/5/22 12:24,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-1-may-2022/,,FALSE,,6826,Kamala Harris,36,43,21
78868,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,4/29/22,5/1/22,,,,155163,1005,a,,a,,5/2/22 20:06,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-may-2-2022/,,FALSE,,6826,Kamala Harris,40,58,2
78870,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,4/28/22,5/1/22,,,,155178,1003,rv,,rv,,5/3/22 20:03,,https://www.foxnews.com/official-polls/05-03-22-fox-news-poll-voters-are-most-worried-about-inflation-and-the-countrys-future,,FALSE,,6826,Kamala Harris,41,53,5
